calendar_year,fund_code,fund_name,base_schedule_number,recid,first_pdf_page
2018,MSM,Trust Fund in Support of the African-led International Support Mission in Mali,1.23,3930166.0,70
2018,NAA,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process,3.27,3930166.0,234
2018,NGA,Trust Fund to Support Peace Process in the Democratic Republic of Congo,1.24,3930166.0,72
2018,NNA,Trust Fund for Children and Armed Conflict,1.25,3930166.0,75
2018,OTB,Trust Fund to Support the launch and operationalization of the Technology Bank for LDCs,3.28,3930166.0,236
2018,OUN,Technical Cooperation Trust Fund for One UN projects implemented by UNCTAD,3.29,3930166.0,239
2018,PDF,Trust Fund for United Nations Peace and Development,3.30,3930166.0,242
2018,PGA,Trust Fund for Population and Development,3.31,3930166.0,245
2018,PIL,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law,2.7,3930166.0,142
2018,PSL,Trust Fund in Support of Peace and Security in Libya,1.26,3930166.0,78
2018,PSM,Trust Fund in Support of Peace and Security in Mali,1.27,3930166.0,81
2018,PSO,Trust Fund for the Peacebuilding Support Office,1.28,3930166.0,84
2018,PYA,Trust Fund for Preventive Action,1.29,3930166.0,87
2018,QGA,United Nations Fund for International Partnership (UNFIP),7.1,3930166.0,410
2018,QGB,Trust Fund for Partnerships,7.2,3930166.0,413
2018,QOA,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions,6.13,3930166.0,382
2018,RIA,United Nations Research Institute for Social Development,3.32,3930166.0,248
2018,RMB,Trust Fund to Support the Activities of the International Residual Mechanism for Criminal Tribunals,2.8,3930166.0,145
2018,ROD,Trust Fund in Support of the United Nations Register of Damage,1.30,3930166.0,90
2018,SAU,Trust Fund in Support of the African Union Mission to Somalia (AMISOM),1.31,3930166.0,93
2018,SBA,Trust Fund in Support of the Programme on the Peaceful Uses of Outer Space,1.32,3930166.0,96
2018,SDP,Trust Fund for Sports for Development and Peace,6.14,3930166.0,385
2018,SHA,United Nations Trust Fund on Contemporary Forms of Slavery,4.13,3930166.0,323
2018,SIM,Trust Fund in Support of the International Impartial and Independent Mechanism,4.14,3930166.0,326
2018,SNA,Trust Fund to promote information to United Nations staff about the work of the Organization (formerly Secretariat News Trust Fund),6.15,3930166.0,387
2018,SOP,Trust Fund for Peacebuilding in Somalia,1.33,3930166.0,99
2018,STS,Trust Fund in Support of the Somali Transitional Security Institutions,1.34,3930166.0,101
2018,SVB,Trust Fund in Support of Victims of Sexual Exploitaion and Abuse,1.35,3930166.0,103
2018,SVC,Trust Fund in Support of the Office of the Special Representative of the Secretary-General on Sexual Violence in Conflict,1.36,3930166.0,106
2018,SVD,Trust Fund in Support of the Special Representative of the Secretary-General on Violence against Children,1.37,3930166.0,109
2018,SWE,Trust Fund for Support of Joint Inspection Unit (JIU) Activities,3.33,3930166.0,251
2018,SZA,Trust Fund in Support of Political Affairs,1.38,3930166.0,112
2018,TJA,Trust Fund to Assist States in the Judicial Settlement of Disputes through the International Court of Justice,2.9,3930166.0,148
2018,TLA,"Trust Fund for the United Nations Programme of Assistance in the Teaching, Study, Dissemination and Wider Appreciation of International Law",2.10,3930166.0,151
2018,TTA,United Nations Commission on International Trade Law Symposia,2.11,3930166.0,154
2018,TXB,Trust Fund for UNCTAD Technical Cooperation Projects,3.34,3930166.0,253
2018,UDF,United Nations Democracy Trust Fund,1.39,3930166.0,116
2018,UGA,Trust Fund for Security of Staff Members of the United Nations System,6.16,3930166.0,390
2018,UIC,Trust Fund for the United Nations Operation in Cote d'Ivoire,1.40,3930166.0,119
2018,UNN,Trust Fund for UNON Extrabudgetary,6.17,3930166.0,393
2018,UPR,Voluntary Fund for Financial and Technical Assistance for the Implementation of the Universal Periodic Review,4.15,3930166.0,329
2018,VPU,Voluntary Fund for Participation in the Universal Periodic Review,4.16,3930166.0,332
2018,VTA,Voluntary Technical Assistance Trust Fund to Support the Paticipation of Least Developed Countries & Small Island Developing States in the work of the Human Rights Council,4.17,3930166.0,335
2018,WAA,Trust Fund for Aging,3.35,3930166.0,260
2018,WKA,Trust Fund to Support the work of the High-level Political Forum on Sustainable Development,3.36,3930166.0,263
2018,WOA,Trust Fund for the Follow-up to the World Summit for Social Development,3.37,3930166.0,267
2018,WVZ,ESCWA - Technical Cooperation Trust Fund,3.38,3930166.0,269
2018,XES,Trust Fund for Department of Economic and Social Affairs Capacity Development Programme,3.39,3930166.0,272
2018,YFA,Trust Fund for Assistance in the Training of United Nations Staff in the French Language,6.18,3930166.0,396
2018,YJA,Trust Fund for Alliance of Civilizations,3.40,3930166.0,276
2018,YRA,Trust Fund for Will and Gift to the UN,6.19,3930166.0,398
2019,ACM,Trust Fund in Support of General Assembly and Conference Management Activities,6.1,3875594.0,351
2019,AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,4.1,3875594.0,290
2019,AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,3.1,3875594.0,170
2019,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,1.1,3875594.0,12
2019,BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,3.2,3875594.0,173
2019,BTF,General Trust Fund for ESCAP Regional Activities,3.3,3875594.0,176
2019,BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,3.4,3875594.0,179
2019,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,1.2,3875594.0,14
2019,CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2.1,3875594.0,139
2019,CCS,Trust Fund for Climate Change Support,6.2,3875594.0,354
2019,CER,Central Emergency Response Fund,4.2,3875594.0,293
2019,CFE,Trust Fund for ECA Construction,6.21,3875594.0,405
2019,CHA,United Nations Voluntary Fund for Victims of Torture,4.3,3875594.0,297
2019,CIA,Trust Fund for a Human Rights Education Programme in Cambodia,4.4,3875594.0,300
2019,CIB,Trust Fund in Support of the Construction and Renovation of the United Nations Compound in Baghdad,1.3,3875594.0,17
2019,CLA,Trust Fund for Legal Affairs and Related Issues,2.2,3875594.0,142
2019,CLO,Trust Funds converted from IMIS to be closed,6.3,3875594.0,357
2019,CLR,Trust Fund Central Emergency Response Fund Loan Component,4.5,3875594.0,303
2019,CNM,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation,1.43,3875594.0,124
2019,COC,Trust Fund to Support Management and Reform Activities,6.4,3875594.0,360
2019,CPK,Trust Fund for Peacekeeping Support Activities,1.4,3875594.0,19
2019,CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,3.5,3875594.0,183
2019,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,1.5,3875594.0,22
2019,CTI,Trust Fund for Counter-Terrorism,1.6,3875594.0,25
2019,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,1.8,3875594.0,28
2019,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",1.9,3875594.0,31
2019,DDN,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator,4.6,3875594.0,305
2019,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,1.10,3875594.0,34
2019,DGA,Trust Fund for Global and Regional Disarmament Activities,1.11,3875594.0,37
2019,DGT,Sub-account for Supporting the Implementation of the Arms Trade Treaty and Programme of Action,1.12,3875594.0,40
2019,DJA,Trust Fund for the Establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),1.13,3875594.0,43
2019,DLA,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund,4.7,3875594.0,309
2019,DRA,United Nations Institute for Disarmament Research,1.14,3875594.0,46
2019,DSA,Special Purpose Trust Fund for the Reinvigorated Resident Coordinator (RC) System,6.22,3875594.0,407
2019,DUN,Trust Fund for Digital Agenda,6.20,3875594.0,402
